"ISO3","Name","Value","sign"
"NLD","Netherlands",-0.00289539427061153,-1
"NZL","New Zealand",-0.0207833862333582,-1
"NIC","Nicaragua",-0.00503255737159042,0
"NER","Niger",0.00522436975579034,0
"NGA","Nigeria",0.00521778471093616,1
"NOR","Norway",-0.00520318446955623,-1
"OMN","Oman",0.00124566647888045,0
"PAK","Pakistan",0.00727130088600528,1
"PLW","Palau",0.000539658170635651,0
"PAN","Panama",-0.00294083654897034,-1
"PNG","Papua New Guinea",6.87741464973068e-05,0
"PRY","Paraguay",-0.00109104063646211,0
"PER","Peru",-0.00235541014336676,0
"PHL","Philippines",0.00260911291358847,0
"POL","Poland",-0.0051275877126568,-1
"PRT","Portugal",-0.000545839199880132,0
"QAT","Qatar",0.0111467058353129,1
"ROU","Romania",0.00125931799493174,0
"RUS","Russian Federation",-0.00594402017085279,0
"RWA","Rwanda",0.00434181302427806,1
"KNA","Saint Kitts and Nevis",-0.00194355663899878,0
"LCA","Saint Lucia",-0.00129781909825971,0
"VCT","Saint Vincent and the Grenadines",0.00414010538198827,1
"WSM","Samoa",-0.000168932551811715,0
"SMR","San Marino",0.00257970610959776,0
"STP","Sao Tome and Principe",0.00194849264254441,0
"SAU","Saudi Arabia",0.0137488806379798,1
"SEN","Senegal",0.00357129393593947,1
"SRB","Serbia",-0.000750952427745764,0
"SYC","Seychelles",0.00615698948606868,1
"SLE","Sierra Leone",-0.00173478363100111,-1
"SGP","Singapore",0.00308569515511646,1
"SVK","Slovakia",0.000561849958604034,0
"SVN","Slovenia",-0.00357958824354817,-1
"SLB","Solomon Islands",-0.00314035185827375,0
"SOM","Somalia",-0.000935265105424997,0
"ZAF","South Africa",-0.00136687709169284,0
"ESP","Spain",-0.00255959402713821,-1
"LKA","Sri Lanka",-0.000785407478644536,0
"SDN","Sudan",-0.00136510786071465,0
"SUR","Suriname",-0.000739984137035465,0
"SWZ","Swaziland",-0.00454156111941643,-1
"SWE","Sweden",-0.00313439522142934,-1
"CHE","Switzerland",-0.00233929644975517,-1
"SYR","Syrian Arab Republic",-0.00172102457778345,-1
"TJK","Tajikistan",0.0010818908007981,0
"TZA","Tanzania, United Republic of",0.00161495343287396,0
"THA","Thailand",0.00855947811986266,1
"TLS","Timor-Leste",-0.00264608477236494,-1
"TGO","Togo",0.0122405266370479,1
"TON","Tonga",0.00210302969691041,1
"TTO","Trinidad and Tobago",-0.00170114248319449,0
"TUN","Tunisia",0.00395271609101556,1
"TUR","Turkey",0.00715066685294369,1
"TKM","Turkmenistan",0.000407863433205581,0
"TUV","Tuvalu",0.0145439126390903,1
"UGA","Uganda",-0.00320302966364406,-1
"UKR","Ukraine",0.000114872154623297,0
"ARE","United Arab Emirates",0.0033701262980761,1
"GBR","United Kingdom",-0.00193672546326448,0
"USA","United States",-0.00493270416910548,-1
"URY","Uruguay",0.00556434685399357,1
"UZB","Uzbekistan",0.0142584312351262,1
"VUT","Vanuatu",0.0022569196354209,0
"VEN","Venezuela, Bolivarian Republic o",-0.00220602201709736,0
"VNM","Viet Nam",0.00643348470964251,1
"YEM","Yemen",-0.00134238218006966,0
"ZMB","Zambia",-0.00128923610298214,0
"ZWE","Zimbabwe",0.00194904978293269,1
