Country Name,Country Code,Series Name,Series Code,2023 [YR2023],2022 [YR2022],2021 [YR2021],2020 [YR2020],2019 [YR2019],2018 [YR2018],2017 [YR2017],2016 [YR2016],2015 [YR2015],2014 [YR2014],2013 [YR2013],2012 [YR2012],2011 [YR2011],2010 [YR2010],2009 [YR2009],2008 [YR2008],2007 [YR2007],2006 [YR2006],2005 [YR2005],2004 [YR2004],2003 [YR2003],2002 [YR2002],2001 [YR2001],2000 [YR2000],1999 [YR1999],1998 [YR1998],1997 [YR1997],1996 [YR1996],1995 [YR1995],1994 [YR1994],1993 [YR1993],1992 [YR1992],1991 [YR1991],1990 [YR1990]
China,CHN,Control of Corruption: Estimate,CC.EST,..,0.0159702487289906,0.030393473803997,-0.0709566846489906,-0.312405079603195,-0.286587774753571,-0.291190564632416,-0.267868012189865,-0.299674153327942,-0.337421417236328,-0.35578978061676,-0.438275933265686,-0.514727592468262,-0.570009887218475,-0.519456624984741,-0.526307642459869,-0.599234640598297,-0.51888769865036,-0.617887735366821,-0.565061569213867,-0.395265489816666,-0.557897567749023,..,-0.208548709750175,..,-0.353955000638962,..,-0.271189510822296,..,..,..,..,..,..
China,CHN,Net migration,SM.POP.NETM,..,..,..,-33649,-302609,-296674,-180592,-153054,-155379,-198432,-137444,-124641,-147585,-216417,-350365,-469093,-438846,-473105,-519752,-458505,-527837,-477885,-485419,-549792,-492597,-439828,-501141,-553915,-625725,-477036,-749957,-873177,-757481,-290067
China,CHN,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,..,-0.441073626279831,-0.51672887802124,-0.473098784685135,-0.259810864925385,-0.298641502857208,-0.232558473944664,-0.502221345901489,-0.552559673786163,-0.522584021091461,-0.543789923191071,-0.538782060146332,-0.602054834365845,-0.65706068277359,-0.451781332492828,-0.49308842420578,-0.500553727149963,-0.540030121803284,-0.501756608486176,-0.39068067073822,-0.56535792350769,-0.327627182006836,..,-0.20991687476635,..,-0.394105225801468,..,-0.0978488251566887,..,..,..,..,..,..
China,CHN,Rule of Law: Estimate,RL.EST,..,-0.0414439849555492,0.0107609163969755,-0.10228705406189,-0.262363702058792,-0.186719536781311,-0.256216943264008,-0.32486966252327,-0.409359097480774,-0.396166622638702,-0.525990128517151,-0.545384466648102,-0.453809976577759,-0.472601860761642,-0.46321377158165,-0.479174673557281,-0.597397744655609,-0.699893414974213,-0.650172889232636,-0.585468709468842,-0.553043842315674,-0.517029762268066,..,-0.51611715555191,..,-0.476805359125137,..,-0.545589983463287,..,..,..,..,..,..
China,CHN,Government Effectiveness: Estimate,GE.EST,..,0.495032012462616,0.809331774711609,0.644194781780243,0.54490339756012,0.496618092060089,0.416717708110809,0.356864213943481,0.417484968900681,0.355403989553452,-0.00465791253373027,0.0153677640482783,0.0836087092757225,0.0918448567390442,0.0932420492172241,0.165779024362564,0.165997371077538,0.0357880145311356,-0.140640497207642,-0.109930388629436,-0.147587299346924,-0.123097203671932,..,-0.158842876553535,..,-0.198783293366432,..,-0.348653882741928,..,..,..,..,..,..
China,CHN,Regulatory Quality: Estimate,RQ.EST,..,-0.418417632579803,-0.332243531942368,-0.202643379569054,-0.304319977760315,-0.22858552634716,-0.179300889372826,-0.314001739025116,-0.354117453098297,-0.331334412097931,-0.331608176231384,-0.28433284163475,-0.259136259555817,-0.320954978466034,-0.298093944787979,-0.21839340031147,-0.233363419771194,-0.258387207984924,-0.183769479393959,-0.346228837966919,-0.392048835754395,-0.582765877246857,..,-0.324955195188522,..,-0.267708390951157,..,-0.266652703285217,..,..,..,..,..,..
China,CHN,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,83.9544010983677,84.1386815063776,84.7888993000055,83.7435404565905,83.9248633879781,83.6054910357351,83.271375464684,82.9608455760154,82.6806354568006,82.4171790401028,82.1667339997133,81.9368274006623,81.7370650917961,81.537831053737,81.9098865313184,82.2785290029066,82.6429262044978,83.0043175522224,83.3618594036811,83.7157405466718,84.0636913006705,84.4092050413203,84.7491938807671,85.085064567081,85.1632297240426,85.2406134954611,85.31944411223,85.397507007813,85.4760035215457,85.5559511095289,85.6351498508593,85.7158037664561,85.7947117366468,..
China,CHN,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,..,..,1.01161003112793,1.01286995410919,1.01529002189636,1.01431000232697,1.01321995258331,1.01013994216919,1.01157999038696,1.00947999954224,1.00609004497528,0.997179985046387,0.992420017719269,0.98895001411438,1.00335001945496,0.996969997882843,0.991550028324127,0.988039970397949,..,..,..,..,0.964619994163513,..,..,..,0.935779988765717,0.928520023822784,0.915570020675659,0.901910006999969,0.881250023841858,0.874170005321503,0.860360026359558,0.848609983921051
China,CHN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,2.98908408603653,8.44846941628141,2.23863835674121,5.95050075439315,6.74977383251148,6.94720079316534,6.84876220444184,7.0413288794755,7.42576365596916,7.7661500973591,7.86373644845264,9.55083217884199,10.6358710659572,9.3987256316321,9.6506789183469,14.2308609340471,12.7209556639451,11.3945918086888,10.1136213788021,10.038030484737,9.1336307895447,8.33573347577625,8.49009340365161,7.66165150616072,7.84595178233623,9.23677989401969,9.92255675616683,10.9539543368197,13.0368066341666,13.8837293021031,14.2245295931824,9.26278608406234,3.92025136776569
China,CHN,Access to electricity (% of population),EG.ELC.ACCS.ZS,..,..,100,100,100,100,100,100,100,100,99.9929504394531,99.9474334716797,99.88720703125,99.7,99.1107559204102,98.7919387817383,98.4865036010742,98.1983032226563,97.9309387207031,97.6828308105469,97.4471893310547,97.2170181274414,96.9853134155273,96.7450561523438,..,..,..,..,..,..,..,..,..,..
