"ISO3","Name","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"BRB","Barbados",6.55,6.55,6.55,6.55,6.55,7.356,7.536,7.536,7.536,7.536,6.68,6.68,6.68,6.68,6.68,6.68,6.68,6.68,6.68,6.68,6.68,6.68,7.415,5.686,5.686,5.686,5.686,5.686
"BRN","Brunei Darussalam",4.729,4.729,4.729,4.729,4.729,4.887,4.887,7.252,7.252,6.624,6.534,6.354,6.095,6.514,6.177,8.76,9.33,9.614,8.992,7.678,8.294,8.132,7.604,7.413,7.413,7.413,8.624,8.624
"BTN","Bhutan",0.952,0.952,0.952,0.952,0.843,0.843,0.843,0.843,0.843,0.974,0.974,0.974,1.011,1.214,1.214,1.214,1.214,1.29,1.375,1.631,1.778,1.905,1.922,2.253,2.154,2.559,2.77,2.77
"BWA","Botswana",2.832,2.832,2.832,2.832,3.251,2.79,2.557,2.609,2.724,2.942,2.607,2.902,3.291,3.155,3.177,3.173,3.109,3.051,3.051,3.051,3.051,4.131,4.131,5.366,5.366,5.366,5.366,5.366
"CAF","Central African Republic",0.427,0.427,0.427,0.427,0.427,0.427,0.427,0.427,0.427,0.472,0.472,0.472,0.472,0.2275,0.285,0.285,0.285,0.285,0.285,0.285,0.259,0.259,0.259,0.301,0.301,0.301,0.301,0.301
"CAN","Canada",12.2846,12.2846,12.2846,12.0457,12.2846,12.2846,11.8986,11.3676,11.3676,11.8038,11.8438,11.9322,12.0294,12.248,12.3333,11.3617,11.2752,11.7435,11.9929,12.3151,12.4388,12.3035,12.6082,12.426,13.775,13.513,12.734,12.734
"CHE","Switzerland",15.045,15.093,15.146,15.211,15.244,15.391,15.425,15.882,16.519,16.437,16.671,17.142,17.399,17.712,18.007,18.74,19.294,19.796,20.261,20.586,21.087,21.591,21.838,22.259,22.64,23.099,23.153,23.153
"CHL","Chile",2.163,2.163,2.163,2.163,2.163,2.163,2.163,2.163,2.217,2.255,2.252,2.313,2.31,2.313,2.304,2.709,3.134,3.608,4.061,11.304,13.199,13.63,14.655,15.935,6.255,7.114,7.574,7.574
"CHN","China",2.118,2.148,2.184,2.192,2.236,2.27,2.298,2.116,2.172,2.229,2.278,2.364,2.478,2.609,2.808,2.982,3.143,3.392,3.684,3.884,4.126,4.393,4.703,5.016,5.384,5.692,5.692,5.692
"CIV","Cote d'Ivoire",0.639,0.639,0.639,0.639,0.639,0.639,0.639,0.639,0.639,0.661,0.564,0.564,0.564,0.592,0.592,0.592,0.6,0.6,0.711,0.844,0.69,0.729,0.775,0.815,0.805,0.805,0.805,0.805
"CMR","Cameroon",1.623,1.623,1.623,1.623,1.623,1.623,1.623,1.623,1.623,1.735,0.449,0.449,0.523,0.523,0.465,0.625,1.027,1.027,1.027,1.027,1.027,1.027,1.027,0.495,0.495,0.578,0.317,0.317
"COD","Congo, the Democratic Republic o",0.598,0.598,0.598,0.598,0.598,0.598,0.598,0.598,0.598,0.636,0.636,0.636,0.636,0.636,0.489,0.489,0.489,0.489,0.922,0.922,1.006,0.66,0.954,1.434,1.434,1.434,1.434,1.434
"COG","Congo",1.287,1.287,1.287,1.77,1.77,1.77,1.77,1.77,1.77,1.249,1.249,1.582,0.984,0.984,0.984,0.532,1.874,1.874,1.105,0.857,0.919,0.996,0.996,1.034,1.034,1.034,1.034,1.034
"COL","Colombia",1.453,1.509,1.563,1.636,1.693,1.762,1.821,1.883,1.941,2.015,2.096,2.172,2.248,2.346,2.448,2.539,2.658,2.779,2.905,3.046,3.166,3.293,3.417,3.488,3.655,3.78,3.811,3.811
"COM","Comoros",1.086,1.086,1.086,1.086,1.086,1.086,1.086,1.086,1.086,1.21,0.776,0.776,0.776,0.776,0.935,0.935,0.935,0.916,0.916,0.916,0.916,1.026,1.026,1.873,1.873,1.873,1.873,1.873
"CPV","Cape Verde",1.045,1.045,1.045,1.045,1.045,1.045,1.045,1.045,1.045,1.367,1.367,1.367,1.367,1.367,1.449,1.602,1.583,1.519,1.317,1.443,1.645,1.827,1.949,2.027,2.027,2.027,2.027,2.027
"CRI","Costa Rica",1.754,1.793,1.831,1.933,2.789,2.479,2.568,2.594,2.673,2.727,2.752,3.531,3.641,3.787,3.944,4.128,4.252,4.444,4.66,4.987,5.337,5.858,6.151,6.256,6.594,6.038,5.833,5.833
"CUB","Cuba",12.711,12.994,13.203,13.263,13.368,13.452,13.463,13.514,13.582,13.719,13.786,13.858,15.104,15.289,15.314,15.9,16.083,15.403,15.463,15.562,15.696,15.802,16.028,15.995,15.995,15.995,15.995,15.995
"CYP","Cyprus",5.134,5.107,5.109,5.093,5.049,4.989,4.977,4.916,4.917,5.084,4.864,5.115,5.339,5.297,5.507,5.617,5.831,5.803,6.148,6.278,6.511,7.036,7.881,8.038,8.196,8.196,10.003,10.003
"CZE","Czech Republic",10.911,10.852,10.95,10.854,10.944,11.463,11.762,11.935,11.916,11.986,12.017,11.983,11.976,11.946,12.112,12.126,12.098,12.158,12.098,12.2815,12.3846,12.3504,12.9956,13.063,13.182,13.363,14.672,14.672
"DEU","Germany",11.928,11.977,11.992,12.035,12.07,12.125,12.283,12.45,12.695,12.815,13.003,13.133,13.313,13.516,13.778,13.914,14.092,14.222,14.664,14.944,15.07,15.337,15.631,16.121,16.481,16.809,16.868,16.868
"DJI","Djibouti",0.876,0.825,0.825,0.825,0.814,0.814,0.814,0.826,0.826,0.52,0.711,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.865,0.865,0.865,0.865,0.865,0.865,0.865,0.865,0.865
"DMA","Dominica",5.058,5.081,5.138,5.138,5.138,5.138,8.24,8.24,8.24,8.24,8.24,8.24,8.24,8.24,8.24,8.24,8.24,8.24,8.635,8.749,8.632,8.623,7.329,7.627,7.627,7.627,7.627,7.627
"DNK","Denmark",11.628,11.744,12.072,12.261,12.245,12.453,12.505,12.718,12.596,12.886,13.126,13.177,12.971,13.381,13.718,13.834,13.945,14.081,14.102,14.122,14.194,14.343,14.559,14.725,14.804,14.804,14.804,14.804
"DOM","Dominican Republic",3.298,3.298,3.954,3.954,3.954,3.633,3.633,3.633,3.633,3.633,3.633,3.633,3.633,2.889,2.406,2.406,2.863,2.863,2.753,2.762,2.761,2.617,2.638,2.741,2.873,2.873,2.873,2.873
"DZA","Algeria",3.052,3.052,3.052,3.206,3.206,3.206,3.206,3.324,3.324,3.324,3.236,3.236,3.142,3.142,3.142,3.142,3.142,3.142,3.142,3.142,3.142,4.097,4.079,3.291,3.291,3.291,3.291,3.291
"ECU","Ecuador",2.823,2.996,3.026,2.946,3.033,3.082,3.144,3.211,3.037,3.037,3.037,3.037,3.037,3.037,3.485,3.776,3.735,3.735,3.603,3.851,4.582,4.906,5.074,4.748,4.748,4.748,4.748,4.748
"EGY","Egypt",3.913,3.913,3.493,3.493,3.493,4.011,4.011,4.011,2.4,2.4,2.4,2.734,2.734,2.734,2.734,2.734,2.734,2.734,2.376,2.594,2.613,2.6,2.583,2.557,2.536,2.536,2.536,2.536
"ERI","Eritrea",0.937,0.937,0.937,0.937,0.937,0.949,0.946,0.959,0.946,0.958,0.95,0.954,0.949,0.949,0.949,0.948,0.949,0.954,1.345,1.304,1.25,1.511,1.399,1.524,1.514,1.525,1.525,1.525
"ESP","Spain",8.408,6.148,6.344,6.382,6.557,6.804,7.149,7.354,7.662,7.894,8.057,8.232,8.318,8.522,8.71,9.071,9.222,9.241,9.135,9.136,9.319,9.529,9.809,10.088,10.498,10.883,10.883,10.883
"EST","Estonia",10.004,9.74,9.664,9.364,9.325,9.141,8.909,9.285,9.427,9.567,9.723,9.796,9.962,10.059,9.728,9.646,9.821,9.743,9.298,9.442,9.772,9.892,10.005,10.119,10.07,11.439,15.043,15.043
"ETH","Ethiopia",0.237,0.237,0.235,0.233,0.232,0.233,0.24,0.241,0.239,0.233,0.275,0.251,0.243,0.224,0.273,0.273,0.273,0.273,0.273,0.273,0.273,0.273,0.84,0.777,0.777,0.874,0.874,0.874
"FIN","Finland",16.041,16.81,17.525,18.22,18.881,19.459,19.82,20.207,20.474,14.493,14.864,15.26,15.519,15.942,16.175,15.81,16.133,16.426,16.417,16.708,16.771,16.8,17.151,17.47,26.286,26.645,26.645,26.645
"FJI","Fiji",2.39,2.39,2.39,2.271,2.243,2.243,2.243,2.243,2.377,2.377,2.377,2.377,2.377,2.366,2.584,2.584,2.584,2.584,3.524,3.524,3.672,3.672,3.672,4.059,4.651,4.651,4.651,4.651
"FRA","France",9.985,10.004,10.021,10.033,10.286,10.531,10.767,10.978,11.204,11.437,11.676,11.869,11.706,11.984,12.226,12.472,12.524,12.953,13.279,13.605,13.94,14.255,14.555,14.876,15.231,15.544,15.544,15.544
"FSM","Micronesia, Federated States of",4.4557,4.4557,4.4557,4.4557,4.4557,4.4557,4.4557,4.4557,2.8778,2.8778,2.9036,2.9036,2.9036,3.2684,3.8,3.5132,3.5132,3.984,3.984,3.984,3.984,3.984,3.984,2.739,2.864,3.162,3.162,3.162
"GAB","Gabon",5.069,5.069,5.069,5.069,5.069,5.069,5.069,5.069,5.069,5.062,5.062,5.062,5.062,4.8798,4.8798,4.8798,4.8798,4.8798,4.8798,4.8798,4.8798,2.792,3.5,3.4,2.981,3.274,3.274,3.274
"GBR","United Kingdom",10.364,10.405,10.462,10.506,10.52,10.601,10.861,11.235,11.562,11.842,12.042,11.942,11.638,11.736,11.648,11.549,11.373,11.112,11.113,11.148,11.153,11.139,11.121,11.372,11.63,12.003,12.338,12.338
