"ISO3","Name","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"AFG","Afghanistan",0.927808516541494,0.93458908695468,0.941471304719031,0.948191980316551,0.954389593089101,0.959484777178201,0.963206840526834,0.965264246900488,0.965840929988424,0.964917277983916,0.957263275001149,0.947642867012259,0.959435333256197,0.964650054995403,0.950710234689635,0.942336131558876,0.925098022176207,0.904595137213875,0.890647934234164,0.87476988928313,0.86361408203411,0.856610738452106,0.846494351368827,0.836343388530282,0.826103328948008,0.813902875074482,0.803918993205996,0.796269081195023
"ALB","Albania",0.61431286374678,0.613600094717918,0.610846098711269,0.605850378231796,0.598960428590285,0.590699366778471,0.581316439189666,0.570981761716935,0.56011303511327,0.548538821326004,0.535902515048866,0.522555646021144,0.508844990003276,0.49533296684931,0.482316062533726,0.47044916503861,0.460794391909321,0.453923086907699,0.44998634983622,0.448202020976033,0.447951317758666,0.449592193408925,0.451585540275383,0.453829432824318,0.458084755906451,0.462905105827876,0.468506791382115,0.475708459745805
"DZA","Algeria",0.737568699920397,0.714705590584495,0.689219252356906,0.662757138088975,0.635543140001497,0.608713780235236,0.583042746174144,0.558954226551979,0.537091660661501,0.517932842672082,0.502238191107539,0.489326601519406,0.478672268716271,0.471075867473126,0.466661273130504,0.465634922869184,0.46808914834511,0.474035724111134,0.483873987927311,0.496677129525309,0.510784371278521,0.525423114151914,0.539911234240061,0.553225214544321,0.564541744789512,0.573030566526583,0.578813423490962,0.582264041789856
"AND","Andorra",0.315761789718495,0.320112384325723,0.328942184841104,0.338167194178685,0.346883120443575,0.354601155790719,0.354778954872535,0.34819850390203,0.34180344760173,0.334704803540112,0.325590221606384,0.324599888290181,0.330901928056091,0.334340358713008,0.335654299026041,0.333168702395831,0.335611323473656,0.344349131666322,0.351615981841713,0.3558167601154,0.35703625345268,0.35735479515579,0.351699577051857,0.34479248737388,0.342498234541859,0.342875231359338,0.344907662828463,0.348754552582705
"AGO","Angola",0.88791147181357,0.887545879923458,0.886421904377212,0.884642273283713,0.882716886399718,0.880517590323749,0.878160007830387,0.875854384613446,0.873541157293196,0.871417076079562,0.869705636142193,0.868446807094155,0.867562433407079,0.867214281288621,0.867247468316152,0.867282577497659,0.867132940990457,0.866999638430146,0.866940636772991,0.866713513706876,0.866346308599849,0.865289525496717,0.863418263091545,0.86128499942924,0.858667371971522,0.856021693478428,0.852922649725008,0.84893205325991
"ATG","Antigua and Barbuda",0.575615681575364,0.568080774494132,0.560327262697585,0.551012894323827,0.540738931683845,0.532476829677589,0.525001213668317,0.515042305371858,0.504014756192919,0.492302676773983,0.479005871015814,0.466421550697149,0.455170354962183,0.445358943146651,0.436961913305718,0.427255805240907,0.416731300099416,0.406677422942951,0.397797378364569,0.391330259968934,0.385489692068624,0.380834326109571,0.37859446066434,0.376377637020741,0.375278135964917,0.377079019246564,0.380269139853129,0.384093150112021
"ARG","Argentina",0.622822779878052,0.619514993872045,0.615821280413756,0.611983668130777,0.608326435185134,0.604714956305242,0.60079810754287,0.596581025847149,0.591940481562992,0.587178023726371,0.582564393693929,0.577922915848366,0.573188939500606,0.5684095058326,0.563953011038046,0.560154122037745,0.557366596439854,0.555691241263896,0.554601947818039,0.553426333982263,0.552298587952781,0.551155913323319,0.549668136975145,0.547542094086479,0.544701018494572,0.540763284491451,0.535593072643642,0.530378082027649
"ARM","Armenia",0.597173012315268,0.595683870526357,0.592027407366492,0.584322347545777,0.571394887630384,0.555895556080111,0.541487156733728,0.529314998403899,0.518005108708737,0.505486346376371,0.490044493345745,0.470584850043089,0.44773546299879,0.425324095066301,0.407640112453483,0.395961061776892,0.390205615578218,0.390196847821351,0.394248922804555,0.401698713642093,0.412192244884026,0.424774817118931,0.438259771456091,0.451190498963357,0.463787936952778,0.474434039940583,0.484933848901904,0.496475508509131
"AUS","Australia",0.491006143517244,0.49036492249291,0.489081023206354,0.487479111721634,0.485467429177654,0.483366338906645,0.481321334264098,0.47880343365855,0.476240255000952,0.474052500552722,0.472070226627757,0.470445036565049,0.469197757222532,0.468231288543226,0.468631653105147,0.471192464082367,0.475873277618167,0.482244549746494,0.48892831434087,0.495218910826767,0.501498806604618,0.507537195138683,0.512673901212896,0.517209111124774,0.52127594179017,0.525431329494514,0.529643013729464,0.533161411689035
"AUT","Austria",0.47901928825943,0.47941033846592,0.477758618121459,0.475154089341343,0.471540653665281,0.467080843439793,0.461996268833062,0.45678537111562,0.452543942580349,0.454045432440678,0.460736348263387,0.466299703483416,0.468393375211855,0.468387890315346,0.468854241359562,0.46711368933145,0.464680643731388,0.46616392938555,0.469548691957118,0.472493814970163,0.474442996380418,0.477023083716937,0.48107675706635,0.485310973797307,0.489650184311641,0.494626031840748,0.501529550284095,0.510561253601211
